country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment,gdp_pc_t10,growth_10y_avg,n_g_delta,ln_y0,ln_s,ln_ngd,ln_h
ABW,2010,25429.2180974853,28.2831797071863,0.230041095930877,98.2207412719727,22729.8897593533,-0.011221804386716272,0.05230041095930877,10.143654110695536,-1.2629029146753503,-2.9507510502115624,4.587217407639967
AFE,2000,1205.98105360593,18.9834572520083,2.59538933998788,27.7371292114258,1449.48915951845,0.018391780250812763,0.07595389339987879,7.0950486670525565,-1.6616022570226843,-2.577628788583026,3.322771920397422
AFE,2010,1449.48915951845,21.5855677899219,2.73452519643287,38.864860534668,1399.39849841898,-0.003516869026719949,0.0773452519643287,7.278966469560684,-1.53314525248891,-2.5594760876308507,3.660090514220013
AGO,2010,3540.79159568381,29.7638327935383,3.85109824897149,28.2108038778932,2864.16146036893,-0.021207469341112884,0.0885109824897149,8.172105595729748,-1.2118761942104803,-2.4246286387385343,3.3397050208111287
ALB,2010,3579.82413181046,32.4926226328977,-0.49646196338738,93.6818237304688,4980.61699524696,0.03302401039768412,0.0450353803661262,8.183068952995455,-1.1241571183307109,-3.100306867770636,4.539904186760824
ARB,1990,4290.84865100714,30.1814997503642,3.28626669219108,54.0517387390137,4910.08259157072,0.013480622863522385,0.0828626669219108,8.364239813105703,-1.19794104036537,-2.490570656972115,3.989941712652238
ARB,2000,4910.08259157072,19.8200202599509,2.41543527490979,59.2162818908691,5948.12916468842,0.01917859812537106,0.0741543527490979,8.499046041740927,-1.618477634889451,-2.6016065101777577,4.081196536015965
ARB,2010,5948.12916468842,26.835298569653,1.99515168852155,64.951042175293,5904.57124162288,-0.0007349906377369208,0.0699515168852155,8.690832022994638,-1.3154520542928916,-2.6599528928274916,4.173633788796852
ARG,1990,8115.09386370753,13.9969815756662,1.49157462934909,72.95556640625,10631.6503639029,0.0270109668017108,0.0649157462934909,9.001481046574039,-1.9663284813563573,-2.7346650607638345,4.289850576461463
ARG,2000,10631.6503639029,17.5334874363903,1.13312807570195,96.2141189575195,13387.1553748458,0.023046025752508116,0.0613312807570195,9.271590714591147,-1.7410575658034255,-2.7914652765194177,4.566576113612663
ARG,2010,13387.1553748458,17.7055338062046,1.05636332156278,99.0709991455078,11393.0505957877,-0.016129212047408005,0.0605636332156278,9.502050972116228,-1.731292950853051,-2.804060677999456,4.595836756181966
ARM,2000,1229.21510436102,21.92233140183,1.68478463633775,86.0512008666992,2796.08143428043,0.08218431100673804,0.0668478463633775,7.114131118141311,-1.5176643699915184,-2.70533619190859,4.454942478012806
ARM,2010,2796.08143428043,38.8147549853077,-0.693856288987436,107.732391357422,4032.09043454955,0.03660660104947402,0.04306143711012564,7.935974228208692,-0.9463697285216782,-3.1451274130063314,4.679650294352319
AUT,2000,38571.0858780001,25.9400787116929,0.240466652446524,98.6123428344727,43035.4073531933,0.010952027842298585,0.05240466652446524,10.560258204241288,-1.349380972729189,-2.9487596358099686,4.591196434651122
AUT,2010,43035.4073531933,22.8592812354211,0.240394299500766,100.263969421387,43428.6983137234,0.0009097270362081744,0.052403942995007655,10.669778482664274,-1.4758129701358118,-2.9487734424897996,4.607806402328195
AZE,2010,5300.11048729062,18.0595784763923,1.18978770786007,83.0853181521079,5087.50022783627,-0.004094107144714166,0.0618978770786007,8.575482945981532,-1.7114939784492518,-2.782269395863541,4.419868009382265
BEL,2000,35878.3153586195,23.7829613022103,0.242517956221334,146.919784545898,39991.5646206286,0.010853546340298692,0.05242517956221334,10.487888362969542,-1.4362007733696338,-2.9483682770743473,4.989886754478148
BEL,2010,39991.5646206286,22.3942744569467,0.913639391631709,160.66047668457,40769.0218072962,0.001925397619968905,0.05913639391631709,10.59642382637253,-1.4963648644001144,-2.8279087417919713,5.079293297780789
BEN,2000,861.213292013209,16.0084024487125,3.07665265205002,20.0005397796631,928.246655329144,0.007495529018601665,0.0807665265205002,6.75834219966419,-1.8320564485483815,-2.516192675027371,2.99575926217295
BFA,1990,332.153276660935,18.9133966293571,2.6348206163474,6.78861999511719,428.309796566198,0.02542502184343638,0.076348206163474,5.805596539066159,-1.665299698646071,-2.5724507425054375,1.9152476801363711
BFA,2000,428.309796566198,14.5706990626075,2.98414422391968,9.85589981079102,561.847221302489,0.027138320721953147,0.0798414422391968,6.059846757500523,-1.926157587343252,-2.5277125830238862,2.288070241438261
BFA,2010,561.847221302489,21.9904340000138,2.92577947499021,21.1780201888507,713.8421779224,0.02394319338623685,0.0792577947499021,6.3312299647200545,-1.514562645371804,-2.5350495145957854,3.0529638603013534
BGD,1990,473.444821021085,16.4586755151535,1.9903336888239,19.8893508911133,620.560472822105,0.0270587686549316,0.06990333688823899,6.160035371561115,-1.804317460856904,-2.6606418928526256,2.990184457396864
BGD,2000,620.560472822105,23.8085625731369,1.82732806740512,46.7210006713867,943.66422864236,0.04191473547648785,0.0682732806740512,6.430623058110431,-1.435124898032541,-2.6842367943041334,3.844193756770623
BGD,2010,943.66422864236,26.2466561760577,0.876530534249878,49.5031106793162,1604.6659234742,0.0530900453655037,0.05876530534249878,6.849770412875309,-1.3376315888336903,-2.834203643418327,3.902035509606556
BGR,2000,3717.92889906166,19.0461434857678,-0.493896416633318,79.8759078979492,6428.71742590538,0.054760828547400386,0.045061035833666815,8.220922044661648,-1.6583055466014458,-3.0997373563668273,4.380474279117598
BGR,2010,6428.71742590538,22.5179685624585,-0.658275446635908,94.1819229125977,8440.08304721192,0.02722170971229936,0.043417245533640916,8.768530330135652,-1.4908565927153081,-3.1368985542770704,4.545228262026786
BHR,1990,18345.8379968815,14.4494275559834,3.45248907691035,82.7652893066406,25407.9694054552,0.032566014431785105,0.0845248907691035,9.817158015597903,-1.9345153877172439,-2.470709222680019,4.416008762225147
BHR,2000,25407.9694054552,16.5750590582953,2.63695278007044,91.4384078979492,22224.0736166249,-0.013388678244399266,0.0763695278007044,10.142818159915754,-1.797271086827774,-2.57217151314791,4.515665607895223
BHR,2010,22224.0736166249,28.5983559958528,4.16585991920366,90.1969414818577,23586.9309581516,0.005951668719338521,0.0916585991920366,10.008931377471761,-1.2518209524769657,-2.3896844826708246,4.501995518310287
BHS,1990,30995.4830715942,29.414718888187,1.7426138665052,84.7572708129883,32424.7271786716,0.004507982974709534,0.067426138665052,10.341596765483004,-1.2236749944677374,-2.6967225222227538,4.439791533884393
BHS,2010,30657.4319059659,27.9860060064819,1.27841716584672,91.0886370856719,24791.6704945106,-0.0212367379931921,0.0627841716584672,10.330630388512159,-1.27346558623007,-2.7680522809313053,4.511833066362116
BIH,2010,3981.20985692032,21.9146685888149,-1.77665932121615,85.5183715820312,5490.75366635139,0.032147976869149095,0.0322334067878385,8.289341036235497,-1.518013974804566,-3.434751886356826,4.448731225165425
BLR,1990,2888.81296582486,26.5588914549654,0.19006508287506,97.5836486816406,2615.36376799462,-0.009944248321730863,0.0519006508287506,7.968600958261421,-1.3258055996392382,-2.9584239488359216,4.580709945384075
