country,year,gdp_per_capita,investment_rate,population_growth,n_g_delta,ln_y,ln_s,ln_ngd
ABW,2000,28104.89544,25.49411358,1.030816853,0.06030816853,10.243699055094796,-1.3667226004713646,-2.808287719581076
ABW,2010,25429.2181,28.28317971,0.230041096,0.05230041096,10.143654110794426,-1.262902914575867,-2.950751050198346
ABW,2020,22729.88976,23.94928059,-0.565684047,0.044343159529999995,10.031436066856825,-1.4292319005781413,-3.1157968204539577
AFE,2000,1205.981054,18.98345725,2.59538934,0.0759538934,7.095048667379319,-1.6616022571284763,-2.57762878858143
AFE,2010,1449.48916,21.58556779,2.734525196,0.07734525196,7.278966469892905,-1.5331452524852918,-2.5594760876868166
AFE,2020,1399.398498,19.69887327,2.699516097,0.07699516097,7.243797778994084,-1.6246087462960552,-2.564012703648709
AFG,2020,527.8345545,11.5,3.153609203,0.08153609202999999,6.268782890853851,-2.162823150618887,-2.5067095097692453
AGO,2010,3540.791596,29.76383279,3.851098249,0.08851098249,8.172105595819048,-1.2118761943293594,-2.424628638735313
AGO,2020,2864.16146,19.64395623,3.267958649,0.08267958649,7.960030902189811,-1.6274004659748462,-2.4927825455115067
ALB,1990,1682.881087,30.36094681,1.799085593,0.06799085593,7.428262536317295,-1.1920130478468067,-2.688382054465796
ALB,2000,1991.914359,34.04013922,-0.637356834,0.04362643166,7.596851444750461,-1.0776297923970395,-3.1320920815768223
ALB,2010,3579.824132,32.49262263,-0.496461963,0.04503538037,8.183068953048402,-1.124157118419891,-3.100306867684619
ALB,2020,4980.616995,26.21834725,-1.543155893,0.03456844107,8.513309056922713,-1.3387107435828145,-3.364814120945362
ARB,1990,4290.848651,30.18149975,3.286266692,0.08286266692,8.36423981310404,-1.1979410403774369,-2.4905706569951747
ARB,2000,4910.082592,19.82002026,2.415435275,0.07415435275,8.499046041828354,-1.6184776348869738,-2.6016065101655927
ARB,2010,5948.129165,26.83529857,1.995151689,0.06995151689,8.69083202304702,-1.3154520542799608,-2.6599528927590943
ARB,2020,5904.571242,24.25003307,2.102945229,0.07102945229,8.68348211668114,-1.4167522048941887,-2.644660666969345
ARE,2010,42328.85082,28.91930537,2.398012041,0.07398012041,10.653224185024554,-1.2406608080039694,-2.603958864977099
ARE,2020,39878.47443,22.82665626,-0.474850155,0.04525149845,10.593591969332035,-1.477241198722351,-3.0955194944673616
ARG,1990,8115.093864,13.99698158,1.491574629,0.06491574628999999,9.001481046610078,-1.9663284810467334,-2.7346650608176106
ARG,2000,10631.65036,17.53348744,1.133128076,0.061331280759999995,9.271590714224045,-1.7410575655975509,-2.791465276470821
ARG,2010,13387.15537,17.70553381,1.056363322,0.060563633219999996,9.502050971754255,-1.7312929506386885,-2.8040606779272643
ARG,2020,11393.0506,14.41515574,0.484665637,0.054846656369999996,9.340758852011874,-1.9368900509325024,-2.903214053644985
ARM,1990,1644.022145,47.14768436,3.117463214,0.08117463214,7.40490104572005,-0.7518852903097902,-2.511152492694287
ARM,2000,1229.215104,21.9223314,1.684784636,0.06684784636,7.114131117847612,-1.517664370074995,-2.7053361919591152
ARM,2010,2796.081434,38.81475499,-0.693856289,0.04306143711,7.935974228108398,-0.9463697284007887,-3.145127413009249
ARM,2020,4032.090435,19.66383294,-0.033760973,0.049662390269999995,8.302040238815147,-1.6263891289287358,-3.0025073673580818
AUS,1990,36975.4199,28.90354135,1.480046937,0.06480046937,10.518008643836357,-1.2412060603145962,-2.7364424322859433
AUS,2000,45979.07657,26.20423805,1.144472851,0.06144472851,10.735941714818415,-1.3392490306688078,-2.7896172316783177
AUS,2010,53768.34973,26.69769326,1.555706262,0.06555706262,10.892440278055073,-1.3205930190706838,-2.724834330564193
AUS,2020,58377.76705,22.34493008,1.233428251,0.06233428251,10.97469039513259,-1.4985707327192304,-2.7752437234784413
AUT,1990,31167.1858,27.02913658,0.762001611,0.05762001611,10.34712108315444,-1.3082547692361914,-2.8538852697353736
AUT,2000,38571.08588,25.94007871,0.240466652,0.052404666520000004,10.560258204293138,-1.349380972794451,-2.9487596358951755
AUT,2010,43035.40735,22.85928124,0.2403943,0.052403942999999995,10.669778482590072,-1.4758129699355036,-2.948773442394533
AUT,2020,43428.69831,25.65307375,0.415176732,0.05415176732,10.67887575294062,-1.3605067872428778,-2.915964668579271
AZE,1990,2866.410607,26.53478854,1.384413502,0.06384413502,7.960815866444405,-1.3267135388374052,-2.751310556321633
AZE,2000,1504.731067,20.67357623,0.821519964,0.05821519964,7.31636946819222,-1.5763138117784927,-2.843608796142343
AZE,2010,5300.110487,18.05957848,1.189787708,0.06189787708,8.5754829459267,-1.7114939782494851,-2.7822693958409346
AZE,2020,5087.500228,23.66595433,0.684365325,0.05684365325,8.534541874566575,-1.4411326968002558,-2.8674507052992744
BEL,1990,29609.62075,24.34637344,0.298235706,0.05298235706,10.295854612840698,-1.4127872822536254,-2.937796306509123
BEL,2000,35878.31536,23.7829613,0.242517956,0.05242517956,10.48788836300802,-1.4362007734625701,-2.9483682771165665
BEL,2010,39991.56462,22.39427446,0.913639392,0.05913639392,10.59642382635681,-1.4963648642637717,-2.8279087417296926
BEL,2020,40769.02181,24.06856785,0.430996815,0.05430996815,10.615677802638539,-1.4242634353400865,-2.913047493383723
BEN,1990,749.4596666,14.06035642,3.072815262,0.08072815262,6.619352502352146,-1.9618109499980003,-2.5166679092756654
