country,year,gdp_per_capita,investment_rate,population_growth
ABW,1990,24763.65381,,3.750561346
ABW,2000,28104.89544,25.49411358,1.030816853
ABW,2010,25429.2181,28.28317971,0.230041096
ABW,2020,22729.88976,23.94928059,-0.565684047
AFE,1990,1293.8702,,2.866548907
AFE,2000,1205.981054,18.98345725,2.59538934
AFE,2010,1449.48916,21.58556779,2.734525196
AFE,2020,1399.398498,19.69887327,2.699516097
AFG,1990,,,1.434588211
AFG,2000,308.3182697,,1.212175976
AFG,2010,542.8710305,,2.934686702
AFG,2020,527.8345545,11.5,3.153609203
AFW,1990,1260.279788,,2.661366151
AFW,2000,1188.037306,,2.751323928
AFW,2010,1677.952383,,2.786988936
AFW,2020,1719.261504,,2.389175704
AGO,1990,2675.052394,0.0,3.392403354
AGO,2000,2172.463267,,3.312287469
AGO,2010,3540.791596,29.76383279,3.851098249
AGO,2020,2864.16146,19.64395623,3.267958649
ALB,1990,1682.881087,30.36094681,1.799085593
ALB,2000,1991.914359,34.04013922,-0.637356834
ALB,2010,3579.824132,32.49262263,-0.496461963
ALB,2020,4980.616995,26.21834725,-1.543155893
AND,1990,31143.1615,,3.831232878
AND,2000,34113.8334,,-0.038053199
AND,2010,36277.28148,,-3.866965388
AND,2020,34536.66615,,1.177753549
ARB,1990,4290.848651,30.18149975,3.286266692
ARB,2000,4910.082592,19.82002026,2.415435275
ARB,2010,5948.129165,26.83529857,1.995151689
ARB,2020,5904.571242,24.25003307,2.102945229
ARE,1990,66481.61376,,5.878422879
ARE,2000,56939.27018,,6.735681701
ARE,2010,42328.85082,28.91930537,2.398012041
ARE,2020,39878.47443,22.82665626,-0.474850155
ARG,1990,8115.093864,13.99698158,1.491574629
ARG,2000,10631.65036,17.53348744,1.133128076
ARG,2010,13387.15537,17.70553381,1.056363322
ARG,2020,11393.0506,14.41515574,0.484665637
ARM,1990,1644.022145,47.14768436,3.117463214
ARM,2000,1229.215104,21.9223314,1.684784636
ARM,2010,2796.081434,38.81475499,-0.693856289
ARM,2020,4032.090435,19.66383294,-0.033760973
ASM,1990,,,3.156059007
ASM,2000,,,1.073368218
ASM,2010,12446.30863,,-0.541732698
ASM,2020,13194.27474,,-0.89627488
ATG,1990,13166.52412,,-0.409839882
ATG,2000,15961.09184,,1.677272827
ATG,2010,16135.39738,,1.353468886
ATG,2020,14950.89424,,0.526173366
AUS,1990,36975.4199,28.90354135,1.480046937
AUS,2000,45979.07657,26.20423805,1.144472851
AUS,2010,53768.34973,26.69769326,1.555706262
AUS,2020,58377.76705,22.34493008,1.233428251
AUT,1990,31167.1858,27.02913658,0.762001611
AUT,2000,38571.08588,25.94007871,0.240466652
AUT,2010,43035.40735,22.85928124,0.2403943
AUT,2020,43428.69831,25.65307375,0.415176732
AZE,1990,2866.410607,26.53478854,1.384413502
AZE,2000,1504.731067,20.67357623,0.821519964
AZE,2010,5300.110487,18.05957848,1.189787708
AZE,2020,5087.500228,23.66595433,0.684365325
BDI,1990,373.2452417,,2.086132695
BDI,2000,264.1544072,,2.077616304
BDI,2010,253.3085777,,4.681010573
BDI,2020,263.4638764,,2.908653025
BEL,1990,29609.62075,24.34637344,0.298235706
BEL,2000,35878.31536,23.7829613,0.242517956
BEL,2010,39991.56462,22.39427446,0.913639392
BEL,2020,40769.02181,24.06856785,0.430996815
BEN,1990,749.4596666,14.06035642,3.072815262
BEN,2000,861.213292,16.00840245,3.076652652
BEN,2010,928.2466553,15.60808921,2.984241628
BEN,2020,1126.654041,25.63384351,2.662598752
BFA,1990,332.1532767,18.91339663,2.634820616
BFA,2000,428.3097966,14.57069906,2.984144224
BFA,2010,561.8472213,21.990434,2.925779475
BFA,2020,713.8421779,17.16151743,2.435229593
BGD,1990,473.444821,16.45867552,1.990333689
BGD,2000,620.5604728,23.80856257,1.827328067
BGD,2010,943.6642286,26.24665618,0.876530534
BGD,2020,1604.665923,31.30794134,0.836310836
BGR,1990,4425.499683,25.58877829,-1.803750479
